Frame_73: FPS: 833.5179, Total Parameters: 400000, Avg Tiles Hit: 342822.00
Frame_74: FPS: 814.7032, Total Parameters: 400000, Avg Tiles Hit: 344333.00
Frame_75: FPS: 825.0511, Total Parameters: 400000, Avg Tiles Hit: 346214.00
Frame_76: FPS: 822.0160, Total Parameters: 400000, Avg Tiles Hit: 348117.00
Frame_77: FPS: 774.4612, Total Parameters: 400000, Avg Tiles Hit: 349355.00
Frame_78: FPS: 794.4028, Total Parameters: 400000, Avg Tiles Hit: 350065.00
Frame_79: FPS: 815.8093, Total Parameters: 400000, Avg Tiles Hit: 351461.00
Frame_80: FPS: 789.3214, Total Parameters: 400000, Avg Tiles Hit: 352405.00
Frame_81: FPS: 815.8712, Total Parameters: 400000, Avg Tiles Hit: 354032.00
Frame_82: FPS: 811.7814, Total Parameters: 400000, Avg Tiles Hit: 355504.00
Frame_83: FPS: 804.1242, Total Parameters: 400000, Avg Tiles Hit: 356839.00
Frame_84: FPS: 785.3664, Total Parameters: 400000, Avg Tiles Hit: 357872.00
Frame_85: FPS: 808.1838, Total Parameters: 400000, Avg Tiles Hit: 358876.00
Frame_86: FPS: 805.8082, Total Parameters: 400000, Avg Tiles Hit: 359584.00
Frame_87: FPS: 805.1446, Total Parameters: 400000, Avg Tiles Hit: 361363.00
Frame_88: FPS: 778.4861, Total Parameters: 400000, Avg Tiles Hit: 362368.00
Frame_89: FPS: 800.3389, Total Parameters: 400000, Avg Tiles Hit: 362832.00
Frame_90: FPS: 800.8416, Total Parameters: 400000, Avg Tiles Hit: 363849.00
Frame_91: FPS: 796.7282, Total Parameters: 400000, Avg Tiles Hit: 364183.00
Frame_92: FPS: 798.2126, Total Parameters: 400000, Avg Tiles Hit: 365285.00
Frame_93: FPS: 796.6389, Total Parameters: 400000, Avg Tiles Hit: 366247.00
Frame_94: FPS: 773.2548, Total Parameters: 400000, Avg Tiles Hit: 366648.00
Frame_95: FPS: 794.1441, Total Parameters: 400000, Avg Tiles Hit: 367578.00
Frame_96: FPS: 768.8423, Total Parameters: 400000, Avg Tiles Hit: 368186.00
Frame_97: FPS: 772.7348, Total Parameters: 400000, Avg Tiles Hit: 369074.00
Frame_98: FPS: 790.1586, Total Parameters: 400000, Avg Tiles Hit: 369821.00
Frame_99: FPS: 790.8633, Total Parameters: 400000, Avg Tiles Hit: 370381.00
Frame_100: FPS: 922.9346, Total Parameters: 400000, Avg Tiles Hit: 290069.00
Frame_101: FPS: 914.6207, Total Parameters: 400000, Avg Tiles Hit: 294667.00
Frame_102: FPS: 879.9861, Total Parameters: 400000, Avg Tiles Hit: 298366.00
Frame_103: FPS: 905.2657, Total Parameters: 400000, Avg Tiles Hit: 301583.00
Frame_104: FPS: 903.2557, Total Parameters: 400000, Avg Tiles Hit: 304282.00
Frame_105: FPS: 901.6111, Total Parameters: 400000, Avg Tiles Hit: 307389.00
Frame_106: FPS: 890.8509, Total Parameters: 400000, Avg Tiles Hit: 309993.00
Frame_107: FPS: 891.9914, Total Parameters: 400000, Avg Tiles Hit: 312212.00
Frame_108: FPS: 882.2870, Total Parameters: 400000, Avg Tiles Hit: 314843.00
Frame_109: FPS: 884.0182, Total Parameters: 400000, Avg Tiles Hit: 316677.00
Frame_110: FPS: 881.4230, Total Parameters: 400000, Avg Tiles Hit: 319438.00
Frame_111: FPS: 877.0951, Total Parameters: 400000, Avg Tiles Hit: 321142.00
Frame_112: FPS: 845.8321, Total Parameters: 400000, Avg Tiles Hit: 323730.00
Frame_113: FPS: 857.8239, Total Parameters: 400000, Avg Tiles Hit: 326124.00
Frame_114: FPS: 827.8390, Total Parameters: 400000, Avg Tiles Hit: 328042.00
Frame_115: FPS: 850.8752, Total Parameters: 400000, Avg Tiles Hit: 329795.00
Frame_116: FPS: 848.4843, Total Parameters: 400000, Avg Tiles Hit: 331797.00
Frame_117: FPS: 842.7780, Total Parameters: 400000, Avg Tiles Hit: 333815.00
Frame_118: FPS: 840.6901, Total Parameters: 400000, Avg Tiles Hit: 335929.00
Frame_119: FPS: 811.8945, Total Parameters: 400000, Avg Tiles Hit: 337524.00
Frame_120: FPS: 807.9829, Total Parameters: 400000, Avg Tiles Hit: 339281.00
Frame_121: FPS: 833.9969, Total Parameters: 400000, Avg Tiles Hit: 340408.00
Frame_122: FPS: 833.5014, Total Parameters: 400000, Avg Tiles Hit: 342126.00
Frame_123: FPS: 828.7779, Total Parameters: 400000, Avg Tiles Hit: 343887.00
Frame_124: FPS: 822.5997, Total Parameters: 400000, Avg Tiles Hit: 345438.00
Frame_125: FPS: 822.8272, Total Parameters: 400000, Avg Tiles Hit: 346122.00
Frame_126: FPS: 823.0500, Total Parameters: 400000, Avg Tiles Hit: 347877.00
Frame_127: FPS: 813.5354, Total Parameters: 400000, Avg Tiles Hit: 349391.00
Frame_128: FPS: 802.7699, Total Parameters: 400000, Avg Tiles Hit: 350162.00
Frame_129: FPS: 814.6130, Total Parameters: 400000, Avg Tiles Hit: 352438.00
Frame_130: FPS: 812.7315, Total Parameters: 400000, Avg Tiles Hit: 353287.00
Frame_131: FPS: 813.7659, Total Parameters: 400000, Avg Tiles Hit: 354154.00
Frame_132: FPS: 786.8559, Total Parameters: 400000, Avg Tiles Hit: 355576.00
Frame_133: FPS: 808.0374, Total Parameters: 400000, Avg Tiles Hit: 356612.00
Frame_134: FPS: 808.6169, Total Parameters: 400000, Avg Tiles Hit: 358192.00
Frame_135: FPS: 783.0950, Total Parameters: 400000, Avg Tiles Hit: 358992.00
Frame_136: FPS: 778.1943, Total Parameters: 400000, Avg Tiles Hit: 360551.00
Frame_137: FPS: 801.0879, Total Parameters: 400000, Avg Tiles Hit: 360906.00
Frame_138: FPS: 804.7553, Total Parameters: 400000, Avg Tiles Hit: 362356.00
Frame_139: FPS: 800.2702, Total Parameters: 400000, Avg Tiles Hit: 363442.00
Frame_140: FPS: 800.4825, Total Parameters: 400000, Avg Tiles Hit: 365080.00
Frame_141: FPS: 800.2809, Total Parameters: 400000, Avg Tiles Hit: 365232.00
Frame_142: FPS: 797.3174, Total Parameters: 400000, Avg Tiles Hit: 366152.00
Frame_143: FPS: 770.6137, Total Parameters: 400000, Avg Tiles Hit: 367381.00
Frame_144: FPS: 769.5420, Total Parameters: 400000, Avg Tiles Hit: 367961.00
Frame_145: FPS: 794.0464, Total Parameters: 400000, Avg Tiles Hit: 369131.00
Frame_146: FPS: 764.1513, Total Parameters: 400000, Avg Tiles Hit: 370251.00
Frame_147: FPS: 768.8691, Total Parameters: 400000, Avg Tiles Hit: 370043.00
Frame_148: FPS: 786.9696, Total Parameters: 400000, Avg Tiles Hit: 371326.00
Frame_149: FPS: 786.7113, Total Parameters: 400000, Avg Tiles Hit: 371766.00
Frame_150: FPS: 928.0070, Total Parameters: 400000, Avg Tiles Hit: 288373.00
Frame_151: FPS: 922.1372, Total Parameters: 400000, Avg Tiles Hit: 292293.00
Frame_152: FPS: 911.6903, Total Parameters: 400000, Avg Tiles Hit: 295534.00
Frame_153: FPS: 910.1590, Total Parameters: 400000, Avg Tiles Hit: 298352.00
Frame_154: FPS: 906.2613, Total Parameters: 400000, Avg Tiles Hit: 301254.00
Frame_155: FPS: 906.9060, Total Parameters: 400000, Avg Tiles Hit: 303545.00
Frame_156: FPS: 868.0463, Total Parameters: 400000, Avg Tiles Hit: 306328.00
Frame_157: FPS: 897.5652, Total Parameters: 400000, Avg Tiles Hit: 308596.00
Frame_158: FPS: 890.7771, Total Parameters: 400000, Avg Tiles Hit: 310900.00
Frame_159: FPS: 888.1590, Total Parameters: 400000, Avg Tiles Hit: 313210.00
Frame_160: FPS: 886.6269, Total Parameters: 400000, Avg Tiles Hit: 315353.00
Frame_161: FPS: 881.6564, Total Parameters: 400000, Avg Tiles Hit: 317085.00
Frame_162: FPS: 848.1617, Total Parameters: 400000, Avg Tiles Hit: 319058.00
Frame_163: FPS: 875.2173, Total Parameters: 400000, Avg Tiles Hit: 321030.00
Frame_164: FPS: 838.8289, Total Parameters: 400000, Avg Tiles Hit: 323398.00
Frame_165: FPS: 862.9101, Total Parameters: 400000, Avg Tiles Hit: 324559.00
Frame_166: FPS: 854.7680, Total Parameters: 400000, Avg Tiles Hit: 326067.00
Frame_167: FPS: 854.9423, Total Parameters: 400000, Avg Tiles Hit: 328210.00
Frame_168: FPS: 851.1100, Total Parameters: 400000, Avg Tiles Hit: 329774.00
Frame_169: FPS: 849.1904, Total Parameters: 400000, Avg Tiles Hit: 331129.00
